"ShortName","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"Wright, Nunn, Gill, Davis, Porzingis","WAS",2,6,3,10,12,3,7,0.42857142857142855,1,5,0.2,0.2,3,4,2,3,0,0.6666666666666666,0.6666666666666666,1,0.4166666666666667,0.4854083333333334,0.375,0.42857142857142855,0,1,0.14285714285714285,1,0.2
"Kuzma, Dotson, Gafford, Kispert, Barton","WAS",1,6,4,12,16,5,10,0.5,1,4,0.25,0.25,3,4,6,3,0,0.4,0.5,1,0.2857142857142857,0.45522307692307695,0.4642857142857143,0.46875,2,2,0.2,0,0
"Morris, Gafford, Avdija, Goodwin, Gibson","WAS",1,6,-5,11,13,5,8,0.625,0,2,0,0,3,0,10,0,0,0,0,0,0.2,0.5001249999999999,0.5,0.5416666666666666,4,1,0.125,0,0
"Kuzma, Morris, Hachimura, Gafford, Kispert","WAS",2,6,-2,11,12,3,6,0.5,1,2,0.5,0.5,3,2,4,3,0,0.3333333333333333,0.3333333333333333,1,0.25,0.46145625,0.5625,0.6,0,2,0.3333333333333333,0,0
"Avdija, Carey Jr., Gill, Goodwin, Barton","WAS",2,6,1,11,10,3,5,0.6,0,4,0,0,4,2,4,0,0,0.3333333333333333,0.5,0,0.4444444444444444,0.5244888888888889,0.3333333333333333,0.45454545454545453,2,0,0,0,0
"Kuzma, Avdija, Beal, Barton, Porzingis","WAS",3,6,-6,10,13,4,7,0.5714285714285714,1,5,0.2,0.25,2,2,6,3,0,0.25,0.3333333333333333,1,0.4166666666666667,0.5068636363636364,0.4583333333333333,0.5416666666666666,2,1,0.14285714285714285,0,0
"Morris, Gafford, Avdija, Gill, Kispert","WAS",3,6,-3,12,15,5,6,0.8333333333333334,1,5,0.2,0.2,2,4,6,3,0,0.4,0.4,1,0.45454545454545453,0.5127409090909091,0.5909090909090909,0.625,0,1,0.16666666666666666,0,0
"Wright, Nunn, Gafford, Gill, Barton","WAS",1,6,-1,10,13,4,5,0.8,1,3,0.3333333333333333,0.3333333333333333,2,4,4,3,0,0.5,0.5,1,0.375,0.43981875,0.6875,0.7222222222222222,0,0,0,0,0
"Kuzma, Morris, Hachimura, Gafford, Avdija","WAS",2,6,0,11,12,4,6,0.6666666666666666,0,4,0,0,4,4,4,0,0,0.5,0.6666666666666666,0,0.4,0.55033,0.4,0.5,2,0,0,0,0
"Wright, Nunn, Gafford, Gill, Kispert","WAS",3,6,0,12,14,5,7,0.7142857142857143,1,2,0.5,0.5,1,4,6,3,0,0.4,0.5,1,0.2222222222222222,0.5028388888888888,0.7222222222222222,0.7777777777777778,2,1,0.14285714285714285,0,0
"Avdija, Kispert, Beal, Barton, Porzingis","WAS",2,6,-9,10,10,1,6,0.16666666666666666,2,4,0.5,0.5,2,0,2,6,0,0,0,1,0.4,0.531475,0.4,0.45454545454545453,2,0,0,0,0
"Wright, Nunn, Avdija, Goodwin, Porzingis","WAS",2,6,5,13,17,5,9,0.5555555555555556,1,2,0.5,0.5,4,6,4,3,0,0.6,0.75,1,0.18181818181818182,0.50635,0.5909090909090909,0.6538461538461539,2,2,0.2222222222222222,0,0
"Morris, Gafford, Avdija, Beal, Porzingis","WAS",2,6,1,12,15,6,7,0.8571428571428571,1,2,0.5,0.5,0,10,2,3,0,0.8333333333333334,0.8333333333333334,1,0.2222222222222222,0.61175,0.8333333333333334,0.8333333333333334,0,0,0,0,0
"Morris, Avdija, Kispert, Gibson, Porzingis","WAS",2,6,-2,10,12,3,5,0.6,2,6,0.3333333333333333,0.3333333333333333,0,4,2,6,0,0.6666666666666666,0.6666666666666666,1,0.5454545454545454,0.5234545454545455,0.5454545454545454,0.5454545454545454,0,1,0.2,0,0
"Wright, Kuzma, Hachimura, Beal, Porzingis","WAS",2,6,1,13,10,5,8,0.625,0,4,0,0,0,4,6,0,0,0.4,0.4,0,0.3333333333333333,0.4886041666666667,0.4166666666666667,0.4166666666666667,0,0,0,0,0
"Gafford, Kispert, Goodwin, Barton, Porzingis","WAS",2,6,-2,12,13,2,6,0.3333333333333333,3,6,0.5,0.5,0,4,0,9,0,1,1,1,0.5,0.5069541666666667,0.5416666666666666,0.5416666666666666,0,1,0.16666666666666666,0,0
"Kuzma, Hachimura, Goodwin, Gibson, Barton","WAS",2,6,-4,13,10,3,6,0.5,1,3,0.3333333333333333,0.3333333333333333,1,2,4,3,0,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,0.4710833333333333,0.5,0.45454545454545453,0,0,0,0,0
